ALTITUDE:101.973288622918| MASS:76.5344848632813| VERTICALSPEED :5.93362237348411| GROUNDSPEED :0.0219220498366591|PRESS :0.000172303986549054| APOAPSIS :92.8822729879757
ALTITUDE:102.338190570707| MASS:76.5041275024414| VERTICALSPEED :6.1574019659999| GROUNDSPEED :0.0229275593101013|PRESS :0.000186499308549774| APOAPSIS :93.3864052400459
ALTITUDE:102.716488265432| MASS:76.4737701416016| VERTICALSPEED :6.38150601858298| GROUNDSPEED :0.0239510108081374|PRESS :0.00020127730040429| APOAPSIS :93.9093232956948
ALTITUDE:103.108289183932| MASS:76.4434051513672| VERTICALSPEED :6.60593553982523| GROUNDSPEED :0.0249928224784999|PRESS :0.000216640356094797| APOAPSIS :94.4510695606004
ALTITUDE:103.513648337103| MASS:76.4130477905273| VERTICALSPEED :6.83069152802794| GROUNDSPEED :0.0260529788509317|PRESS :0.000232590751077671| APOAPSIS :95.0116869078483
ALTITUDE:103.932543521514| MASS:76.3826904296875| VERTICALSPEED :7.05577398962167| GROUNDSPEED :0.0271325268631575|PRESS :0.000249130838138785| APOAPSIS :95.591218159534
ALTITUDE:104.364959410974| MASS:76.3523254394531| VERTICALSPEED :7.28118326813886| GROUNDSPEED :0.0282313158780263|PRESS :0.000266263020551349| APOAPSIS :96.1897051676642
ALTITUDE:104.810878522811| MASS:76.3219680786133| VERTICALSPEED :7.50692035829523| GROUNDSPEED :0.0293492836858923|PRESS :0.00028398959507739| APOAPSIS :96.8071910397848
ALTITUDE:105.270319325966| MASS:76.2916107177734| VERTICALSPEED :7.73298532775308| GROUNDSPEED :0.0304860897168968|PRESS :0.000302312876479692| APOAPSIS :97.4437195709907
ALTITUDE:105.743315708241| MASS:76.2612457275391| VERTICALSPEED :7.95937770115323| GROUNDSPEED :0.0316425238417221|PRESS :0.000321235286230162| APOAPSIS :98.0993314699735
ALTITUDE:106.22990057955| MASS:76.2308883666992| VERTICALSPEED :8.18609791865009| GROUNDSPEED :0.0328194919827022|PRESS :0.000340759097438961| APOAPSIS :98.7740690851351
ALTITUDE:106.73012580513| MASS:76.2005310058594| VERTICALSPEED :8.41314710444381| GROUNDSPEED :0.0340163525382789|PRESS :0.000360886603300361| APOAPSIS :99.4679773796815
ALTITUDE:107.244006708381| MASS:76.170166015625| VERTICALSPEED :8.64052598140756| GROUNDSPEED :0.0352325054325418|PRESS :0.000381620179410448| APOAPSIS :100.181099677691
ALTITUDE:107.771561763831| MASS:76.1398086547852| VERTICALSPEED :8.86823438366905| GROUNDSPEED :0.0364685178231662|PRESS :0.000402962274519812| APOAPSIS :100.913477752241
ALTITUDE:108.312789396383| MASS:76.1094512939453| VERTICALSPEED :9.09627269531097| GROUNDSPEED :0.0377238037697641|PRESS :0.000424915020916135| APOAPSIS :101.665154970018
ALTITUDE:108.867710830062| MASS:76.0790863037109| VERTICALSPEED :9.32464184658836| GROUNDSPEED :0.0389987044635429|PRESS :0.000447481040512924| APOAPSIS :102.436176439864
ALTITUDE:109.436329203774| MASS:76.0487289428711| VERTICALSPEED :9.5533414077812| GROUNDSPEED :0.040292581871283|PRESS :0.000470662430006212| APOAPSIS :103.226584418793
ALTITUDE:110.018670451012| MASS:76.0183715820313| VERTICALSPEED :9.78237224314894| GROUNDSPEED :0.0416060028193093|PRESS :0.000494461749432893| APOAPSIS :104.0364225636
ALTITUDE:110.614763264079| MASS:75.9880065917969| VERTICALSPEED :10.0117346601581| GROUNDSPEED :0.0429378714514438|PRESS :0.000518881194350712| APOAPSIS :104.86573441932
ALTITUDE:111.224638664629| MASS:75.957649230957| VERTICALSPEED :10.2414291378421| GROUNDSPEED :0.0442882402420628|PRESS :0.000543923096634173| APOAPSIS :105.714564485475
ALTITUDE:111.848318469943| MASS:75.9272842407227| VERTICALSPEED :10.4714560180745| GROUNDSPEED :0.0456571491620551|PRESS :0.000569589766787344| APOAPSIS :106.582956977305
